Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Submitter	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Type Material Display Text	CheckM contamination
GCF_000015705.1	ASM1570v1	Prochlorococcus marinus str. MIT 9303	59922	Inconclusive		MIT 9303					GCF_000015705.1-RS_2024_05_06	2682675	1	Complete Genome	2007-01-22		2682675	2682675	1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	2678	2572		0.59
GCA_027359395.1	ASM2735939v1	Prochlorococcus marinus str. MIT 1013	3014999	Inconclusive		MIT 1013						2046712	1	Complete Genome	2022-12-27		2046712	2046712	1	Massachusetts Institute of Technology				0.31
GCF_027359395.1	ASM2735939v1	Prochlorococcus marinus str. MIT 1013	3014999	Inconclusive		MIT 1013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2046712	1	Complete Genome	2022-12-27		2046712	2046712	1	Massachusetts Institute of Technology	2326	2270		0.31
GCA_027359475.1	ASM2735947v1	Prochlorococcus marinus str. MIT 0915	1570012	Inconclusive		MIT 0915						1988105	1	Complete Genome	2022-12-27		1988105	1988105	1	Massachusetts Institute of Technology				0.26
GCF_027359475.1	ASM2735947v1	Prochlorococcus marinus str. MIT 0915	1570012	Inconclusive		MIT 0915					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1988105	1	Complete Genome	2022-12-27		1988105	1988105	1	Massachusetts Institute of Technology	2149	2089		0.26
GCA_027359355.1	ASM2735935v1	Prochlorococcus marinus str. MIT 1214	3015000	Inconclusive		MIT 1214						1934849	1	Complete Genome	2022-12-27		1934849	1934849	1	Massachusetts Institute of Technology				0.13
GCF_027359355.1	ASM2735935v1	Prochlorococcus marinus str. MIT 1214	3015000	Inconclusive		MIT 1214					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1934849	1	Complete Genome	2022-12-27		1934849	1934849	1	Massachusetts Institute of Technology	2138	2085		0.13
GCA_047304675.1	ASM4730467v1	Prochlorococcus marinus str. PAC1	59924	Inconclusive		PAC1						1927571	1	Complete Genome	2025-01-29		1927571	1927571	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.16
GCF_047304675.1	ASM4730467v1	Prochlorococcus marinus str. PAC1	59924	Inconclusive		PAC1					GCF_047304675.1-RS_2025_01_31	1927571	1	Complete Genome	2025-01-31		1927571	1927571	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2192	2138		0.16
GCA_027359575.1	ASM2735957v1	Prochlorococcus marinus str. MIT 0917	1570014	Inconclusive		MIT 0917						1924674	1	Complete Genome	2022-12-27		1924674	1924674	1	Massachusetts Institute of Technology				0.29
GCF_027359575.1	ASM2735957v1	Prochlorococcus marinus str. MIT 0917	1570014	Inconclusive		MIT 0917					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1924674	1	Complete Genome	2022-12-27		1924674	1924674	1	Massachusetts Institute of Technology	2152	2105		0.29
GCA_027359595.1	ASM2735959v1	Prochlorococcus marinus str. MIT 0912	1570009	Inconclusive		MIT 0912						1898947	1	Complete Genome	2022-12-27		1898947	1898947	1	Massachusetts Institute of Technology				0.22
GCF_027359595.1	ASM2735959v1	Prochlorococcus marinus str. MIT 0912	1570009	Inconclusive		MIT 0912					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1898947	1	Complete Genome	2022-12-27		1898947	1898947	1	Massachusetts Institute of Technology	2165	2110		0.22
GCA_047302745.1	ASM4730274v1	Prochlorococcus marinus str. MIT 1012	1570015	Inconclusive		MIT 1012						1897577	1	Complete Genome	2025-01-29		1897577	1897577	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.29
GCF_047302745.1	ASM4730274v1	Prochlorococcus marinus str. MIT 1012	1570015	Inconclusive		MIT 1012					GCF_047302745.1-RS_2025_01_29	1897577	1	Complete Genome	2025-01-30		1897577	1897577	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2225	2170		0.29
GCA_027359525.1	ASM2735952v1	Prochlorococcus marinus str. MIT 0913	1570010	Inconclusive		MIT 0913						1877877	1	Complete Genome	2022-12-27		1877877	1877877	1	Massachusetts Institute of Technology				0.22
GCF_027359525.1	ASM2735952v1	Prochlorococcus marinus str. MIT 0913	1570010	Inconclusive		MIT 0913					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1877877	1	Complete Genome	2022-12-27		1877877	1877877	1	Massachusetts Institute of Technology	2129	2080		0.22
GCA_000015685.1	ASM1568v1	Prochlorococcus marinus str. NATL1A	167555	Inconclusive		NATL1A					Annotation submitted by Gordon and Betty Moore Foundation Marine Microbiology Initiative	1864731	1	Complete Genome	2007-01-22		1864731	1864731	1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	2250	2193		0.06
GCF_000015685.1	ASM1568v1	Prochlorococcus marinus str. NATL1A	167555	Inconclusive		NATL1A					GCF_000015685.1-RS_2025_01_27	1864731	1	Complete Genome	2007-01-22		1864731	1864731	1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	2135	2083		0.06
GCA_027359415.1	ASM2735941v1	Prochlorococcus marinus str. MIT 0918	3014997	OK		MIT 0918						1789313	1	Complete Genome	2022-12-27		1789313	1789313	1	Massachusetts Institute of Technology				0.15
GCF_027359415.1	ASM2735941v1	Prochlorococcus marinus str. MIT 0918	3014997	OK		MIT 0918					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1789313	1	Complete Genome	2022-12-27		1789313	1789313	1	Massachusetts Institute of Technology	1941	1884		0.15
GCA_047302905.1	ASM4730290v1	Prochlorococcus marinus str. LG	167556	OK		LG						1751940	1	Complete Genome	2025-01-29		1751940	1751940	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.02
GCF_047302905.1	ASM4730290v1	Prochlorococcus marinus str. LG	167556	OK		LG					GCF_047302905.1-RS_2025_01_29	1751940	1	Complete Genome	2025-01-30		1751940	1751940	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1912	1860		0.02
GCA_047304605.1	ASM4730460v1	Prochlorococcus marinus str. SS35	167553	OK		SS35						1751899	1	Complete Genome	2025-01-29		1751899	1751899	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.02
GCF_047304605.1	ASM4730460v1	Prochlorococcus marinus str. SS35	167553	OK		SS35					GCF_047304605.1-RS_2025_01_31	1751899	1	Complete Genome	2025-01-31		1751899	1751899	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1913	1861		0.02
GCA_047302765.1	ASM4730276v1	Prochlorococcus marinus str. SS2	167552	OK		SS2						1751709	1	Complete Genome	2025-01-29		1751709	1751709	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.02
GCF_047302765.1	ASM4730276v1	Prochlorococcus marinus str. SS2	167552	OK		SS2					GCF_047302765.1-RS_2025_01_29	1751709	1	Complete Genome	2025-01-30		1751709	1751709	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1910	1859		0.02
GCA_000018065.1	ASM1806v1	Prochlorococcus marinus str. MIT 9215	93060	OK		MIT 9215					Annotation submitted by US DOE Joint Genome Institute	1738790	1	Complete Genome	2007-09-20		1738790	1738790	1	US DOE Joint Genome Institute	2055	1983		
GCF_000018065.1	ASM1806v1	Prochlorococcus marinus str. MIT 9215	93060	OK		MIT 9215					GCF_000018065.1-RS_2024_05_07	1738790	1	Complete Genome	2007-09-20		1738790	1738790	1	US DOE Joint Genome Institute	1983	1929		
GCA_027359375.1	ASM2735937v1	Prochlorococcus marinus str. MIT 0919	3014998	Inconclusive		MIT 0919						1716770	1	Complete Genome	2022-12-27		1716770	1716770	1	Massachusetts Institute of Technology				0.1
GCF_027359375.1	ASM2735937v1	Prochlorococcus marinus str. MIT 0919	3014998	Inconclusive		MIT 0919					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1716770	1	Complete Genome	2022-12-27		1716770	1716770	1	Massachusetts Institute of Technology	1873	1823		0.1
GCA_000012645.1	ASM1264v1	Prochlorococcus marinus str. MIT 9312	74546	OK		MIT 9312					Annotation submitted by DOE Joint Genome Institute	1709204	1	Complete Genome	2005-11-02		1709204	1709204	1	DOE Joint Genome Institute	2016	1962		
GCF_000012645.1	ASM1264v1	Prochlorococcus marinus str. MIT 9312	74546	OK		MIT 9312					GCF_000012645.1-RS_2025_01_27	1709204	1	Complete Genome	2005-11-02		1709204	1709204	1	DOE Joint Genome Institute	1921	1876		
GCA_047302795.1	ASM4730279v1	Prochlorococcus marinus str. MIT 9107	59921	OK		MIT 9107						1699808	1	Complete Genome	2025-01-29		1699808	1699808	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				
GCF_047302795.1	ASM4730279v1	Prochlorococcus marinus str. MIT 9107	59921	OK		MIT 9107					GCF_047302795.1-RS_2025_01_29	1699808	1	Complete Genome	2025-01-30		1699808	1699808	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1937	1877		
GCA_047305125.1	ASM4730512v1	Prochlorococcus marinus str. MIT 9201	93057	OK		MIT 9201						1685880	1	Complete Genome	2025-01-29		1685880	1685880	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.05
GCF_047305125.1	ASM4730512v1	Prochlorococcus marinus str. MIT 9201	93057	OK		MIT 9201					GCF_047305125.1-RS_2025_01_31	1685880	1	Complete Genome	2025-01-31		1685880	1685880	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1936	1877		0.05
GCA_047305225.1	ASM4730522v1	Prochlorococcus marinus str. SB	59926	OK		SB						1674013	1	Complete Genome	2025-01-29		1674013	1674013	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.09
GCF_047305225.1	ASM4730522v1	Prochlorococcus marinus str. SB	59926	OK		SB					GCF_047305225.1-RS_2025_01_31	1674013	1	Complete Genome	2025-01-31		1674013	1674013	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1886	1834		0.09
GCA_000015645.1	ASM1564v1	Prochlorococcus marinus str. AS9601	146891	OK		AS9601					Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative	1669886	1	Complete Genome	2007-01-19		1669886	1669886	1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	1984	1921		
GCF_000015645.1	ASM1564v1	Prochlorococcus marinus str. AS9601	146891	OK		AS9601					GCF_000015645.1-RS_2024_05_06	1669886	1	Complete Genome	2007-01-19		1669886	1669886	1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	1896	1846		
GCA_000015965.1	ASM1596v1	Prochlorococcus marinus str. MIT 9301	167546	OK		MIT 9301					Annotation submitted by Gordon and Betty Moore Foundation Marine Microbiology Initiative	1641879	1	Complete Genome	2007-03-05		1641879	1641879	1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	1963	1907		0.08
GCF_000015965.1	ASM1596v1	Prochlorococcus marinus str. MIT 9301	167546	OK		MIT 9301					GCF_000015965.1-RS_2024_05_08	1641879	1	Complete Genome	2007-03-05		1641879	1641879	1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	1896	1850		0.08
GCA_047302855.1	ASM4730285v1	Prochlorococcus marinus str. SS51	167554	OK		SS51						1627281	1	Complete Genome	2025-01-29		1627281	1627281	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				
GCF_047302855.1	ASM4730285v1	Prochlorococcus marinus str. SS51	167554	OK		SS51					GCF_047302855.1-RS_2025_01_29	1627281	1	Complete Genome	2025-01-30		1627281	1627281	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1846	1801		
GCA_047302875.1	ASM4730287v1	Prochlorococcus marinus str. GP2	59925	OK		GP2						1627281	1	Complete Genome	2025-01-29		1627281	1627281	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				
GCF_047302875.1	ASM4730287v1	Prochlorococcus marinus str. GP2	59925	OK		GP2					GCF_047302875.1-RS_2025_01_29	1627281	1	Complete Genome	2025-01-30		1627281	1627281	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	1853	1808		
GCA_000019485.1	ASM1948v1	Picosynechococcus sp. PCC 7002	32049	Inconclusive		PCC 7002; ATCC 27264					Annotation submitted by Penn State University	3409935	7	Complete Genome	2008-03-14		3008047	3008047	7	Penn State University	3237	3186		
GCF_000019485.1	ASM1948v1	Picosynechococcus sp. PCC 7002	32049	Inconclusive		PCC 7002					GCF_000019485.1-RS_2024_11_05	3409935	7	Complete Genome	2008-03-14		3008047	3008047	7	Penn State University	3281	3207		
GCA_018139025.1	ASM1813902v1	Cylindrospermopsis raciborskii N8	1524929	OK		N8						3857174	1	Complete Genome	2021-04-25		3857174	3857174	1	Jinan University				0.31
GCF_018139025.1	ASM1813902v1	Cylindrospermopsis raciborskii N8	1524929	OK		N8					GCF_018139025.1-RS_2024_04_10	3857174	1	Complete Genome	2021-04-25		3857174	3857174	1	Jinan University	3459	3311		0.31
GCA_021650815.1	ASM2165081v1	Cylindrospermopsis raciborskii KLL07	683357	OK		KLL07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3808183	1	Complete Genome	2022-01-27		3808183	3808183	1	University of Haifa	3372	3220		0.38
GCF_021650815.1	ASM2165081v1	Cylindrospermopsis raciborskii KLL07	683357	OK		KLL07					GCF_021650815.1-RS_2024_08_13	3808183	1	Complete Genome	2022-01-27		3808183	3808183	1	University of Haifa	3386	3243		0.38
GCA_020885515.1	BBES_1.0	cyanobacterium endosymbiont of Braarudosphaera bigelowii	1285375	Inconclusive					CPSB-1		Annotation submitted by National Institute for Environmental Studies	1491611	1	Complete Genome	2021-10-16		1491611	1491611	1	National Institute for Environmental Studies	1255	1186		
GCF_020885515.1	BBES_1.0	cyanobacterium endosymbiont of Braarudosphaera bigelowii	1285375	Inconclusive					CPSB-1		GCF_020885515.1-RS_2024_12_02	1491611	1	Complete Genome	2021-10-16		1491611	1491611	1	National Institute for Environmental Studies	1241	1181		
GCA_043099305.1	ASM4309930v1	Chlorogloeopsis fritschii PCC 9212	184925	OK		PCC 9212					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7731072	3	Complete Genome	2024-10-14		7409323	7409323	3	School of Life Sciences/Department of Chemistry, University of Warwick	6897	6617		1.84
GCF_043099305.1	ASM4309930v1	Chlorogloeopsis fritschii PCC 9212	184925	OK		PCC 9212					GCF_043099305.1-RS_2024_10_15	7731072	3	Complete Genome	2024-10-17		7409323	7409323	3	School of Life Sciences/Department of Chemistry, University of Warwick	6897	6617		1.84
GCA_000204075.1	ASM20407v1	Trichormus variabilis ATCC 29413	240292	Inconclusive		ATCC 29413					Annotation submitted by DOE Joint Genome Institute	7105752	5	Complete Genome	2005-09-15		6365727	6365727	5	DOE Joint Genome Institute	5808	5706		0.11
GCF_000204075.1	ASM20407v1	Trichormus variabilis ATCC 29413	240292	Inconclusive		ATCC 29413					GCF_000204075.1-RS_2025_01_23	7105752	5	Complete Genome	2005-09-15		6365727	6365727	5	DOE Joint Genome Institute	5993	5846		0.11
GCA_032620035.1	ASM3262003v1	Leptolyngbya boryana CZ1	3060204	OK		CZ1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6635697	1	Complete Genome	2023-10-13		6635697	6635697	1	Huangshan University	6203	6070		3.08
GCF_032620035.1	ASM3262003v1	Leptolyngbya boryana CZ1	3060204	OK		CZ1					GCF_032620035.1-RS_2024_10_23	6635697	1	Complete Genome	2023-10-13		6635697	6635697	1	Huangshan University	6229	6084		3.08
GCA_022372495.1	ASM2237249v1	Leptolyngbya boryana IU 594	462680	OK		IU 594					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7227162	4	Complete Genome	2022-02-23		6249019	6249019	4	University of Haifa	6774	6592		1.21
GCF_022372495.1	ASM2237249v1	Leptolyngbya boryana IU 594	462680	OK		IU 594					GCF_022372495.1-RS_2024_10_23	7227162	4	Complete Genome	2022-02-23		6249019	6249019	4	University of Haifa	6825	6662		1.21
GCA_002142495.1	ASM214249v1	Leptolyngbya boryana dg5	1260963	OK		dg5					Annotation submitted by Graduate School of Bioagricultural Sciences, Nagoya University	6803469	4	Complete Genome	2015-02-14		6176365	6176365	4	Graduate School of Bioagricultural Sciences, Nagoya University	6422	6348		1.21
GCF_002142495.1	ASM214249v1	Leptolyngbya boryana dg5	1260963	OK		dg5					GCF_002142495.1-RS_2024_10_23	6803469	4	Complete Genome	2015-02-14		6176365	6176365	4	Graduate School of Bioagricultural Sciences, Nagoya University	6445	6302		1.21
GCA_038630775.1	ASM3863077v1	Cyanobacterium aponinum UTEX 3222	3088145	OK		UTEX 3222					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4417119	1	Complete Genome	2024-01-09		4417119	4417119	1	Physiology and Biophysics, Weill Cornell Medical College	3815	3714		1.57
GCF_038630775.1	ASM3863077v1	Cyanobacterium aponinum UTEX 3222	3088145	OK		UTEX 3222					GCF_038630775.1-RS_2024_04_30	4417119	1	Complete Genome	2024-05-01		4417119	4417119	1	Physiology and Biophysics, Weill Cornell Medical College	3815	3713		1.57
GCA_035320825.1	ASM3532082v1	Cyanobacterium aponinum UTEX 3221	3088144	OK		UTEX 3221					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4280321	1	Complete Genome	2024-01-09		4280321	4280321	1	The Two Frontiers Project	3640	3556		1.47
GCF_035320825.1	ASM3532082v1	Cyanobacterium aponinum UTEX 3221	3088144	OK		UTEX 3221					GCF_035320825.1-RS_2025_01_09	4280321	1	Complete Genome	2024-01-09		4280321	4280321	1	The Two Frontiers Project	3646	3558		1.47
GCA_033798705.1	ASM3379870v1	Cyanobacterium aponinum AL20115	3090662	OK		AL20115					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4306969	7	Complete Genome	2023-11-18		4267295	4267295	7	Academia Sinica	3672	3572		1.12
GCF_033798705.1	ASM3379870v1	Cyanobacterium aponinum AL20115	3090662	OK		AL20115					GCF_033798705.1-RS_2024_11_26	4306969	7	Complete Genome	2023-11-18		4267295	4267295	7	Academia Sinica	3682	3580		1.12
GCA_045345185.1	ASM4534518v1	Cyanobacterium aponinum AL20118	3133088	OK		AL20118					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4306293	7	Complete Genome	2024-03-27		4266140	4266140	7	Institute of Plant and Microbial Biology, Academia Sinica	3656	3554		1.12
GCF_045345185.1	ASM4534518v1	Cyanobacterium aponinum AL20118	3133088	OK		AL20118					GCF_045345185.1-RS_2024_11_27	4306293	7	Complete Genome	2024-11-27		4266140	4266140	7	Institute of Plant and Microbial Biology, Academia Sinica	3665	3562		1.12
GCA_024347835.1	ASM2434783v1	Acaryochloris marina MBIC10699	2954813	OK		MBIC10699					Annotation submitted by Nagoya University	7647728	5	Complete Genome	2022-07-08		6415507	6415507	5	Nagoya University	6892	6813		4.48
GCF_024347835.1	ASM2434783v1	Acaryochloris marina MBIC10699	2954813	OK		MBIC10699					GCF_024347835.1-RS_2024_10_11	7647728	5	Complete Genome	2022-07-08		6415507	6415507	5	Nagoya University	6982	6692		4.48
GCA_018336915.1	ASM1833691v1	Acaryochloris marina S15	2762553	Inconclusive		S15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7112772	7	Complete Genome	2021-05-11		5881945	5881945	7	University of Montana	6380	6022		2.85
GCF_018336915.1	ASM1833691v1	Acaryochloris marina S15	2762553	Inconclusive		S15					GCF_018336915.1-RS_2024_11_06	7112772	7	Complete Genome	2021-05-11		5881945	5881945	7	University of Montana	6409	6128		2.85
GCA_904830765.1	PA_NIVACYA	Planktothrix agardhii	1160	OK		NIVA-CYA126/8					Annotation submitted by Justus Liebig Universitat	5099909	4	Complete Genome	2022-06-30		4838015	4838015	4	Justus Liebig Universitat	4547	4494		1.48
GCF_904830765.1	PA_NIVACYA	Planktothrix agardhii	1160	OK		NIVA-CYA126/8					GCF_904830765.1-RS_2024_07_21	5099909	4	Complete Genome	2022-06-30		4838015	4838015	4	Justus Liebig Universitat	4581	4436		1.48
GCA_904830915.1	P. agardhii_PCC7805	Planktothrix agardhii	1160	OK		PCC7805					Annotation submitted by Justus Liebig Universitat	4903948	2	Complete Genome	2022-06-30		4750937	4750937	2	Justus Liebig Universitat	4498	4445		2.74
GCF_904830915.1	P. agardhii_PCC7805	Planktothrix agardhii	1160	OK		PCC7805					GCF_904830915.1-RS_2024_07_18	4903948	2	Complete Genome	2022-06-30		4750937	4750937	2	Justus Liebig Universitat	4505	4351		2.74
GCA_904830855.1	PA_No.66	Planktothrix agardhii	1160	OK		No.66					Annotation submitted by Justus Liebig Universitat	4947677	4	Complete Genome	2022-06-30		4738828	4738828	4	Justus Liebig Universitat	4487	4434		2.14
GCF_904830855.1	PA_No.66	Planktothrix agardhii	1160	OK		No.66					GCF_904830855.1-RS_2024_07_18	4947677	4	Complete Genome	2022-06-30		4738828	4738828	4	Justus Liebig Universitat	4523	4383		2.14
GCA_904830775.1	P. agardhii_No.2A	Planktothrix agardhii	1160	OK		No.2A					Annotation submitted by Justus Liebig Universitat	4794075	3	Complete Genome	2022-06-30		4724555	4724555	3	Justus Liebig Universitat	4357	4304		1.96
GCF_904830775.1	P. agardhii_No.2A	Planktothrix agardhii	1160	OK		No.2A					GCF_904830775.1-RS_2024_07_18	4794075	3	Complete Genome	2022-06-30		4724555	4724555	3	Justus Liebig Universitat	4359	4199		1.96
GCA_904830845.1	PA_No.365	Planktothrix agardhii	1160	OK		No.365					Annotation submitted by Justus Liebig Universitat	4974996	5	Complete Genome	2022-06-30		4711865	4711865	5	Justus Liebig Universitat	4534	4481		2.13
GCF_904830845.1	PA_No.365	Planktothrix agardhii	1160	OK		No.365					GCF_904830845.1-RS_2024_07_18	4974996	5	Complete Genome	2022-06-30		4711865	4711865	5	Justus Liebig Universitat	4539	4389		2.13
GCA_025677855.1	ASM2567785v1	Tolypothrix sp. PCC 7601	1188	OK		PCC 7601					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10128441	15	Complete Genome	2022-10-13		9038614	9038614	15	Helmholtz - Centre for Environmental Research	8309	7831		1.23
GCF_025677855.1	ASM2567785v1	Tolypothrix sp. PCC 7601	1188	OK		PCC 7601					GCF_025677855.1-RS_2025_01_18	10128441	15	Complete Genome	2022-10-13		9038614	9038614	15	Helmholtz - Centre for Environmental Research	8344	8018		1.23
GCA_001767235.1	ASM176723v1	Moorena producens PAL-8-15-08-1	1458985	Inconclusive		PAL-8-15-08-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9708656	2	Complete Genome	2016-10-18		9673108	9673108	2	UCSD	7154	6706		1.57
GCF_001767235.1	ASM176723v1	Moorena producens PAL-8-15-08-1	1458985	Inconclusive		PAL-8-15-08-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9708656	2	Complete Genome	2016-10-18		9673108	9673108	2	UCSD	8406	8097		1.57
GCA_001854205.2	ASM185420v2	Moorena producens JHB	1454205	Inconclusive		JHB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9659941	3	Complete Genome	2022-12-12		9648523	9648523	3	UCSD	8278	7851		0.12
GCF_001854205.2	ASM185420v2	Moorena producens JHB	1454205	Inconclusive		JHB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9659941	3	Complete Genome	2022-12-12		9648523	9648523	3	UCSD	8304	7971		0.12
GCA_023734775.1	ASM2373477v1	Nostoc cf. commune SO-36	449208	Inconclusive		SO-36					Annotation submitted by Functional Genomics Section, Instrumental Research Support Office, Research Institute of Green Science and Technology, Shizuoka University	7408262	5	Complete Genome	2022-05-11		6802717	6802717	5	Functional Genomics Section, Instrumental Research Support Office, Research Institute of Green Science and Technology, Shizuoka University	6912	6855		2.05
GCF_023734775.1	ASM2373477v1	Nostoc cf. commune SO-36	449208	Inconclusive		SO-36					GCF_023734775.1-RS_2025_01_02	7408262	5	Complete Genome	2022-05-11		6802717	6802717	5	Functional Genomics Section, Instrumental Research Support Office, Research Institute of Green Science and Technology, Shizuoka University	6853	6052		2.05
GCA_009372195.1	ASM937219v1	Nostoc sphaeroides CCNUC1	2653204	Inconclusive					CCNUC1		Annotation submitted by Central China Normal University	9516388	9	Complete Genome	2019-10-28		6481972	6481972	9	Central China Normal University	10553	10473		3.55
GCF_009372195.1	ASM937219v1	Nostoc sphaeroides CCNUC1	2653204	Inconclusive					CCNUC1		GCF_009372195.1-RS_2024_03_29	9516388	9	Complete Genome	2019-10-28		6481972	6481972	9	Central China Normal University	8640	8171		3.55
GCA_025860405.1	ASM2586040v1	Tolypothrix sp. PCC 7712	2596898	OK		PCC 7712					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10115897	16	Complete Genome	2022-10-25		9007860	9007860	16	Helmholtz - Centre for Environmental Research	8111	7728		1.07
GCF_025860405.1	ASM2586040v1	Tolypothrix sp. PCC 7712	2596898	OK		PCC 7712					GCF_025860405.1-RS_2025_02_01	10115897	16	Complete Genome	2022-10-25		9007860	9007860	16	Helmholtz - Centre for Environmental Research	8351	8074		1.07
GCA_009873495.1	ASM987349v1	Nostoc sp. ATCC 53789	76335	OK		ATCC 53789					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8653730	13	Complete Genome	2020-01-14		7340101	7340101	13	TU Dortmund University	7263	6776		1.4
GCF_009873495.1	ASM987349v1	Nostoc sp. ATCC 53789	76335	OK		ATCC 53789					GCF_009873495.1-RS_2024_06_03	8653730	13	Complete Genome	2020-01-14		7340101	7340101	13	TU Dortmund University	7338	7027		1.4
GCA_000316645.1	ASM31664v1	Nostoc sp. PCC 7524	28072	Inconclusive		PCC 7524					Annotation submitted by JGI	6718869	3	Complete Genome	2012-12-04		6635030	6635030	3	JGI	5687	5449		0.44
GCF_000316645.1	ASM31664v1	Nostoc sp. PCC 7524	28072	Inconclusive		PCC 7524					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6718869	3	Complete Genome	2012-12-04		6635030	6635030	3	JGI	5659	5478		0.44
GCA_000734895.2	ASM73489v2	Calothrix sp. 336/3	1337936	Inconclusive		336/3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6420126	4	Complete Genome	2015-05-06		6283267	6283267	4	University of Turku, Department of Biochemistry	5367	5043		7.2
GCF_000734895.2	ASM73489v2	Calothrix sp. 336/3	1337936	Inconclusive		336/3					GCF_000734895.2-RS_2024_08_22	6420126	4	Complete Genome	2015-05-06		6283267	6283267	4	University of Turku, Department of Biochemistry	5514	5360		7.2
GCA_000312705.1	ASM31270v1	Anabaena sp. 90	46234	OK		90					Annotation submitted by University of Helsinki	5305675	5	Complete Genome	2012-11-13		4329264	4329264	5	University of Helsinki	4797	4511		1.16
GCF_000312705.1	ASM31270v1	Anabaena sp. 90	46234	OK		90					GCF_000312705.1-RS_2024_08_22	5305675	5	Complete Genome	2012-11-13		4329264	4329264	5	University of Helsinki	5034	4813		1.16
GCA_000317635.1	ASM31763v1	Halothece sp. PCC 7418	65093	Inconclusive		PCC 7418					Annotation submitted by DOE Joint Genome Institute	4179170	1	Complete Genome	2012-12-07		4179170	4179170	1	DOE Joint Genome Institute	3920	3708		
GCF_000317635.1	ASM31763v1	Halothece sp. PCC 7418	65093	Inconclusive		PCC 7418					GCF_000317635.1-RS_2024_11_05	4179170	1	Complete Genome	2012-12-07		4179170	4179170	1	DOE Joint Genome Institute	3953	3826		
